Id,0.0cm,50.0cm,100.0cm,200.0cm,400.0cm,1000.0cm,15000.0cm
﻿1.0,0.44836,0.44255,0.43427,0.41833,0.39185,0.33947,0.16606
﻿7.0,0.59964,0.59127,0.57942,0.55664,0.51875,0.44356,0.19049
﻿13.0,0.42335,0.41894,0.41585,0.41112,0.40417,0.39056,0.31335
﻿19.0,0.41708,0.41125,0.40304,0.38725,0.36099,0.30875,0.13105
﻿25.0,0.46568,0.46067,0.45354,0.43983,0.41703,0.37194,0.22251
﻿31.0,0.5099,0.50691,0.50383,0.49837,0.48942,0.47026,0.35832
﻿37.0,0.40105,0.39763,0.39499,0.39079,0.38444,0.37171,0.29779
﻿43.0,0.4662,0.45986,0.45077,0.43326,0.40419,0.34692,0.16092
﻿49.0,0.64611,0.6376,0.62548,0.60215,0.56338,0.4867,0.23286
﻿61.0,0.55486,0.5477,0.53753,0.51795,0.48542,0.42097,0.20607
﻿67.0,0.48606,0.48057,0.47283,0.45795,0.43318,0.38392,0.21633
﻿72.0,0.45463,0.44848,0.43974,0.42291,0.39494,0.3396,0.15623
﻿78.0,0.4556,0.45206,0.44885,0.44343,0.43486,0.41697,0.31147
﻿84.0,0.44602,0.43996,0.43134,0.41477,0.38722,0.33264,0.15033
﻿90.0,0.45539,0.45256,0.45004,0.44579,0.43904,0.42478,0.33507
﻿96.0,0.50371,0.4967,0.48671,0.4675,0.43556,0.37239,0.16317
﻿102.0,0.53811,0.53384,0.52916,0.52073,0.50678,0.47703,0.31495
﻿108.0,0.456,0.44721,0.43928,0.42644,0.40732,0.37128,0.22191
﻿114.0,0.46354,0.46039,0.45747,0.45249,0.44451,0.42764,0.32494
﻿120.0,0.45381,0.44865,0.44146,0.42766,0.40468,0.35867,0.19732
﻿126.0,0.48722,0.48117,0.4727,0.45643,0.42934,0.37526,0.18784
