Id,0.0cm,50.0cm,100.0cm,200.0cm,400.0cm,1000.0cm,15000.0cm
﻿1.0,0.44836,0.44255,0.43427,0.41833,0.39185,0.33947,0.16606
﻿7.0,0.59964,0.59127,0.57942,0.55664,0.51875,0.44356,0.19049
﻿13.0,0.42335,0.42003,0.41771,0.41411,0.40877,0.39813,0.33392
﻿19.0,0.41708,0.41125,0.40304,0.38725,0.36099,0.30875,0.13105
﻿25.0,0.46568,0.46067,0.45354,0.43982,0.41702,0.37191,0.22249
﻿31.0,0.5099,0.50566,0.50109,0.49298,0.47982,0.45249,0.3154
﻿37.0,0.40105,0.39764,0.39502,0.39084,0.38453,0.37186,0.29819
﻿43.0,0.4662,0.45986,0.45077,0.43326,0.40419,0.34692,0.16092
﻿49.0,0.64611,0.6376,0.62548,0.60215,0.56338,0.4867,0.23286
﻿61.0,0.55486,0.5477,0.53753,0.51795,0.48542,0.42097,0.20607
