0,Year,Month,Day,Hour,Minute,Second,Station,Date(Local_Day),MSLPress(hPa),PET(mm),Rain(mm),RH(%),SoilM(mm),TempEarth10cm(C),Radn(MJ/m2),Tmax(C),Tmin(C),VapPress(hPa),WindSpeed(mps),,,,,
,2009,12,31,9,0,0,30914,20091231,0,0,0,0,0,0,0,0,0,0,0,,,,,
,2010,1,1,9,0,0,30914,20100101,1021,6.1,0,62,-113.4,18,31.4,24.4,10.6,12.6,2.9,,,,,
,2010,1,2,9,0,0,30914,20100102,1018.3,5.8,0,67,-115.7,18.5,30.3,25,11.4,14.1,3,,,,,
,2010,1,3,9,0,0,30914,20100103,1016.6,5.3,2.3,76,-116.6,19.1,26.3,25.1,12.6,17,2.8,,,,,
,2010,1,4,9,0,0,30914,20100104,1006.6,3.9,0,92,-118.3,20.1,18.9,22,17.8,20.6,5,,,,,
,2010,1,5,9,0,0,30914,20100105,1018.2,6.1,0,60,-120.4,17.9,31.5,23.2,11.7,11.9,2.8,,,,,
,2010,1,6,9,0,0,30914,20100106,1022.4,5.4,0,75,-122.3,17.9,32,24.7,7.9,14.4,1.7,,,,,
,2010,1,7,9,0,0,30914,20100107,1020.2,4.8,0,75,-123.8,19.4,24.5,24.6,11.9,16.5,2.5,,,,,
,2010,1,8,9,0,0,30914,20100108,1014.6,4.4,0,73,-125.3,19.1,20.5,22.5,13,16.7,3.5,,,,,
,2010,1,9,9,0,0,30914,20100109,1021,5.8,0,61,-126.4,17.4,32.5,23.2,6.9,10.8,2.3,,,,,
,2010,1,10,9,0,0,30914,20100110,1016.6,4.9,10.9,69,-120.9,17.5,26.9,22.8,7.2,12.4,2.2,,,,,
,2010,1,11,9,0,0,30914,20100111,1003.4,5.2,0,77,-122.8,17.9,26.2,20.9,12.9,13.7,4,,,,,
,2010,1,12,9,0,0,30914,20100112,1006.2,4.8,2.3,73,-122.9,17,24.3,23.1,9.1,13,1.7,,,,,
,2010,1,13,9,0,0,30914,20100113,1011.9,3.3,0,80,-124.6,17.6,15.6,21.8,10.8,14.5,2.6,,,,,
,2010,1,14,9,0,0,30914,20100114,1011,5.6,0,75,-126.3,17.7,31.2,25,10,14.8,1.8,,,,,
,2010,1,15,9,0,0,30914,20100115,1008.3,5.2,0,62,-127.9,18.8,24.3,26.2,11.8,14.2,2.3,,,,,
,2010,1,16,9,0,0,30914,20100116,1006.5,4,0,65,-128.5,20.3,13.6,24.6,16.3,15.8,1.9,,,,,
,2010,1,17,9,0,0,30914,20100117,1007.3,4.2,3,75,-123.8,19.9,19.9,24.6,15.6,15.9,2.3,,,,,
,2010,1,18,9,0,0,30914,20100118,1010.2,2.7,0,86,-123.5,20,11.3,21.8,16.2,18,1.8,,,,,
,2010,1,19,9,0,0,30914,20100119,1014.9,5.1,0,85,-125,20.5,23.3,26.4,16.8,20.2,1.7,,,,,
,2010,1,20,9,0,0,30914,20100120,1012.6,4.7,5.1,74,-122.1,20.7,21.4,25.7,15.2,19.3,2.9,,,,,
,2010,1,21,9,0,0,30914,20100121,1001.1,4,24,88,-101.9,20.5,17.2,26,18.9,21.1,2.9,,,,,
,2010,1,22,9,0,0,30914,20100122,1000.8,5,0,81,-104.9,19.6,22.7,22.5,16.8,17.5,4.5,,,,,
,2010,1,23,9,0,0,30914,20100123,1002.1,4.6,0,76,-107.8,19.7,19.1,24.4,16.2,17,4,,,,,
,2010,1,24,9,0,0,30914,20100124,1007.2,3.8,0,77,-110.5,19.6,16.4,22.2,15,16.8,3.1,,,,,
,2010,1,25,9,0,0,30914,20100125,1015,4.9,0,80,-111.8,19,23.4,26.9,12.3,16.9,1.9,,,,,
,2010,1,26,9,0,0,30914,20100126,1018.2,5.2,2.6,75,-103.5,20.8,25.3,26.1,16.9,19.8,2.4,,,,,
,2010,1,27,9,0,0,30914,20100127,1020.1,4.8,3.8,78,-99.4,20.2,23.2,26.5,14.7,18.8,1.8,,,,,
,2010,1,28,9,0,0,30914,20100128,1019,5,0,82,-101.3,20.3,25.3,26.9,14.5,19.2,1.6,,,,,
,2010,1,29,9,0,0,30914,20100129,1019.1,5.9,0,72,-105.8,20.6,29,26.5,15.5,18.1,2.2,,,,,
,2010,1,30,9,0,0,30914,20100130,1015.5,4.1,6.4,67,-101.1,20.4,20,26.2,14.3,17.1,2.2,,,,,
,2010,1,31,9,0,0,30914,20100131,1010.1,1.9,57.7,93,-45.4,20.2,6.2,22.4,17.4,20.5,3.7,,,,,
,2010,2,1,9,0,0,30914,20100201,1017.3,3.3,6,85,-40.6,20.4,14.2,24.6,18.2,21.6,5,,,,,
