Ψm_A,σ_A,,Ψm_B,σ_B,,Ψm_C,σ_C,,Ψm_D,σ_D,,Ψm_E,σ_E,,Ψm_F,σ_F,,Ψm_G,σ_G,,Ψm_H,σ_H,,Ψm_I,σ_I,,Ψm_J,σ_J
5012.15617,2.92973,,3221.80879,2.3715,,2325.52926,2.45343,,2129.19032,2.46951,,35739.31772,2.72714,,7695.01324,2.21525,,6684.47279,2.16832,,4424.52264,2.281,,4440.02695,2.03194,,5099.01889,2.65957
3349.26353,2.68138,,2627.94652,2.33788,,1641.66872,2.4316,,1423.95452,2.45974,,28780.20334,2.65495,,5817.6738,2.12202,,5589.13169,2.10866,,2943.95694,2.30194,,2999.33915,1.90119,,3107.47042,2.71541
1536.95626,2.33566,,1838.81162,2.46716,,2048.72868,2.46808,,2009.95657,2.44804,,2359.67599,1.82123,,8197.50364,2.23633,,7248.25855,2.19531,,1661.40581,2.48914,,1831.20015,1.73671,,1749.31076,1.98991
438177.9153,3.99991,,435217.6873,4,,381005.6313,4,,372600.5419,4,,1.63E+06,4,,556490.7104,3.64227,,401352.1807,3.53334,,371900.1829,4,,401130.1268,3.53315,,371899.9686,4
47767.0687,3.23052,,8825.504,2.55833,,8349.27557,2.56736,,8349.19667,2.56736,,61185.44402,2.90636,,13719.23165,2.40799,,15073.64135,2.29325,,15073.64111,2.29325,,22558.72579,2.57376,,47212.55685,3.23141
10423.48068,2.90251,,4698.20308,2.42113,,4344.5272,2.4116,,4335.6709,2.41074,,35577.66508,2.72563,,8903.97609,2.26389,,8024.58259,2.22923,,5534.01257,2.34048,,5805.42962,2.12132,,8523.71357,2.99338
6502.98851,3.09055,,3488.74425,2.39116,,2354.7744,2.49078,,2083.19988,2.5159,,48217.57206,2.82696,,8390.86301,2.2441,,7393.94455,2.20194,,4469.65495,2.32674,,4398.9947,2.02885,,5054.06314,2.65136
4202.63134,2.77244,,4362.34212,2.57267,,3625.43435,2.61665,,3469.3454,2.62977,,89600.02971,3.03351,,12451.35538,2.37567,,10977.57218,2.33367,,4160.19299,2.57631,,3868.64463,1.98602,,4332.76714,2.70597
5140.34283,2.00617,,11612.91833,2.21385,,9418.20377,2.18228,,8955.84414,2.16475,,4741.64802,1.97496,,8955.83649,2.16475,,7848.48245,2.22183,,5534.24643,2.32079,,5167.72206,2.08253,,5532.58937,2.32014
2950.26187,2.46547,,2596.44718,2.39448,,2929.33508,2.37573,,2949.83729,2.3714,,4733.57373,2.05328,,7353.51732,2.20012,,7142.59214,2.19042,,3097.9394,2.36401,,3066.59209,1.90858,,3097.66076,2.36346
1074.01802,3.99732,,1918.05757,2.46685,,2226.13721,2.45873,,2255.15054,2.43998,,2650.91362,1.86002,,7398.91266,2.20217,,7213.68012,2.19372,,1985.22832,2.46482,,2083.27615,1.7797,,1968.96616,2.59144
4878.98408,2.01318,,20741.55125,2.39561,,19756.64574,2.39155,,18402.23354,2.36863,,4720.29892,1.95885,,18402.19855,2.36863,,14457.32266,2.42546,,7836.80475,2.52526,,4955.73613,1.61458,,4955.76427,1.61457
4429.44121,1.8324,,8015.36137,2.30294,,9012.67245,2.28006,,8923.44177,2.28372,,5114.92419,2.07911,,9326.61876,2.27935,,9321.19847,2.27915,,5801.96805,2.36118,,4048.35896,1.47501,,4048.35408,1.47501
3389.61727,2.18753,,4472.393,2.35388,,4512.45922,2.3515,,4498.69612,2.35211,,5420.14465,2.09843,,8842.71825,2.26159,,8149.19307,2.23436,,3856.33629,2.38299,,2935.97827,1.38918,,2935.98125,1.38918
5400.53218,3.99686,,9696.84229,2.31333,,8695.83246,2.33888,,8403.60077,2.3181,,12052.91966,2.36483,,9756.40372,2.29436,,9740.67171,2.29383,,9256.49309,2.30665,,11893.02418,2.36037,,39747.1596,3.90758
94884.66958,3.11896,,14347.38726,2.4331,,13103.21961,2.40742,,13098.95206,2.4073,,23837.76841,2.57824,,13465.32138,2.40176,,18685.06017,2.2987,,18685.06,2.2987,,30897.30409,2.67861,,73410.56654,3.30346
30452.54601,3.02325,,10741.45454,2.35346,,8030.07164,2.42404,,7440.92836,2.44218,,100969.5878,3.07333,,12056.85897,2.36493,,15453.19078,2.27469,,15453.19062,2.27469,,11456.6201,1.93826,,11456.49463,1.93826
3556.28943,2.8921,,3156.70846,2.9872,,11191.1806,2.59215,,10242.60993,2.57094,,5012.22508,2.07235,,17540.51815,2.48989,,17068.89023,2.48081,,3783.06436,2.94033,,4460.65394,2.03349,,3696.42359,2.6608
8531.16086,1.5866,,75262.81985,2.08245,,45372.78629,2.07057,,41374.01192,2.05134,,3958.35246,1.51944,,41374.20944,2.05134,,13185.98578,2.39477,,9183.90227,2.48109,,6832.80891,2.02999,,6832.81259,2.02999
47364.84529,2.88848,,12113.48724,2.36517,,11472.01698,2.3856,,10995.67801,2.40534,,50281.35664,2.84093,,12534.62381,2.37789,,20554.06423,2.17293,,20554.06402,2.17293,,51232.42596,2.84718,,51136.37046,2.86783
9446.00956,2.55027,,5732.66544,2.36693,,6233.53167,2.34655,,6238.97161,2.34243,,17148.84847,2.48237,,9060.59224,2.2697,,8550.54581,2.25039,,8480.11758,2.25297,,8957.97063,2.2659,,11345.61819,2.64845
18487.30246,3.52884,,3762.58759,2.46728,,3469.77331,2.45395,,3377.4317,2.45999,,35788.64532,2.7276,,8672.48143,2.25511,,7691.38106,2.21509,,5784.84596,2.30175,,6039.72711,2.13451,,10222.48823,3.27907
8899.69192,2.26347,,10222.02369,2.30645,,10853.74247,2.30748,,10596.05613,2.29619,,8737.96799,2.23804,,10596.00706,2.29618,,10228.37318,2.31011,,9552.36822,2.32725,,9385.30172,2.28144,,10083.45558,2.40041
26935.07899,2.89303,,15686.22535,2.53195,,14024.32068,2.56188,,12928.59293,2.58634,,92257.667,3.04325,,19154.80475,2.51924,,18252.08367,2.49737,,18252.08401,2.49737,,18762.58512,2.51234,,20860.55678,2.61971
16122.2477,3.41792,,5416.24157,2.91848,,4794.68818,3.03289,,4586.02575,3.01037,,187353.6923,3.27939,,18027.52037,2.49902,,15530.18248,2.44932,,5813.9017,2.73302,,4819.51644,2.05928,,5767.4311,2.72564
38267.43755,2.99089,,11775.75861,2.35952,,8894.97422,2.44467,,8501.8295,2.4636,,45165.4009,2.80517,,12348.06514,2.37289,,19464.00817,2.11808,,19464.00788,2.11808,,38972.00952,2.756,,38955.22134,2.75899
