,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,SIM_100,SIM_101,OPT_100,OPT_101
Vector,hydro,θs,1,0.4928,0.6,0,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.586784014,1,1,0,1,0,0,0,0,0.586784014,0.549242704,0,0
Vector,hydro,θs,2,0.502,0.6,0,0.52864,0.52864,0.52864,0.52864,0.52864,0.52864,0.52864,0.553966309,1,1,0,0,1,0,0,0,0.553966309,0.549242704,0,0
Vector,hydro,θs,3,0.414,0.6,0,0.450904,0.450904,0.450904,0.450904,0.450904,0.450904,0.450904,0.51883515,1,0,1,0,0,1,0,0,0.51883515,0.506006319,0,0
Vector,hydro,θs,4,0.419,0.6,0,0.46585,0.46585,0.46585,0.46585,0.46585,0.46585,0.46585,0.523574665,1,0,1,0,0,0,1,0,0.523574665,0.506006319,0,0
Vector,hydro,θr,1,0,0.2,0,0.12805,0.12805,0.12805,0.12805,0.12805,0.12805,0.12805,0.111736872,0,0,0,0,0,0,0,0,0.111736872,0.164798517,0,0
Vector,hydro,θr,2,0,0.2,0,0.14745,0.14745,0.14745,0.14745,0.14745,0.14745,0.14745,0.102828633,0,0,0,0,0,0,0,0,0.102828633,0.164798517,0,0
Vector,hydro,θr,3,0,0.2,0,0.172975,0.172975,0.172975,0.172975,0.172975,0.172975,0.172975,0.166349801,0,0,0,0,0,0,0,0,0.166349801,0.171276377,0,0
Vector,hydro,θr,4,0,0.2,0,0.177772,0.177772,0.177772,0.177772,0.177772,0.177772,0.177772,0.175203507,0,0,0,0,0,0,0,0,0.175203507,0.171276377,0,0
Vector,hydro,Ks,1,5.50E-05,0.08,1,0.000825,0.000825,0.000825,0.000825,0.000825,0.000825,0.000825,0.032000224,1,1,0,1,0,0,0,0,0.032000224,0.001256458,0,0
Vector,hydro,Ks,2,5.50E-05,0.08,1,0.006344,0.006344,0.006344,0.006344,0.006344,0.006344,0.006344,0.014647609,1,1,0,0,1,0,0,0,0.014647609,0.001256458,0,0
Vector,hydro,Ks,3,5.50E-05,0.08,1,0.000231,0.000231,0.000231,0.000231,0.000231,0.000231,0.000231,0.061715523,1,0,1,0,0,1,0,0,0.061715523,0.00187003,0,0
Vector,hydro,Ks,4,5.50E-05,0.08,1,0.000292,0.000292,0.000292,0.000292,0.000292,0.000292,0.000292,0.061072554,1,0,1,0,0,0,1,0,0.061072554,0.00187003,0,0
Vector,hydro,Ψm,1,94.87735836,16275479.14,1,22724.21732,22724.21732,22724.21732,22724.21732,22724.21732,22724.21732,22724.21732,27689.5435,1,1,0,1,0,0,0,0,27689.5435,13322.48423,0,0
Vector,hydro,Ψm,2,94.87735836,16275479.14,1,30327.41873,30327.41873,30327.41873,30327.41873,30327.41873,30327.41873,30327.41873,52829.96985,1,1,0,0,1,0,0,0,52829.96985,13322.48423,0,0
Vector,hydro,Ψm,3,94.87735836,16275479.14,1,105296.4426,105296.4426,105296.4426,105296.4426,105296.4426,105296.4426,105296.4426,65220.64108,1,0,1,0,0,1,0,0,65220.64108,28287.73399,0,0
Vector,hydro,Ψm,4,94.87735836,16275479.14,1,151798.0036,151798.0036,151798.0036,151798.0036,151798.0036,151798.0036,151798.0036,58780.71173,1,0,1,0,0,0,1,0,58780.71173,28287.73399,0,0
Vector,hydro,σ,1,0.75,4,0,2.077554,2.077554,2.077554,2.077554,2.077554,2.077554,2.077554,2.261163641,1,1,0,1,0,0,0,0,2.261163641,2.334182428,0,0
Vector,hydro,σ,2,0.75,4,0,2.201602,2.201602,2.201602,2.201602,2.201602,2.201602,2.201602,2.214651404,1,1,0,0,1,0,0,0,2.214651404,2.334182428,0,0
Vector,hydro,σ,3,0.75,4,0,2.410769,2.410769,2.410769,2.410769,2.410769,2.410769,2.410769,2.585984223,1,0,1,0,0,1,0,0,2.585984223,2.393733073,0,0
Vector,hydro,σ,4,0.75,4,0,2.463145,2.463145,2.463145,2.463145,2.463145,2.463145,2.463145,2.660013555,1,0,1,0,0,0,1,0,2.660013555,2.393733073,0,0
Vector,hydro,θsMacMat_ƞ,1,0.75,1,0,0.922455,0.922455,0.922455,0.922455,0.922455,0.922455,0.922455,0.948405151,1,1,0,1,0,0,0,0,0.948405151,0.797037146,0,0
Vector,hydro,θsMacMat_ƞ,2,0.75,1,0,0.781472,0.781472,0.781472,0.781472,0.781472,0.781472,0.781472,0.871775323,1,1,0,0,1,0,0,0,0.871775323,0.797037146,0,0
Vector,hydro,θsMacMat_ƞ,3,0.8,1,0,0.952221,0.952221,0.952221,0.952221,0.952221,0.952221,0.952221,0.941053448,1,0,1,0,0,1,0,0,0.941053448,0.867893763,0,0
Vector,hydro,θsMacMat_ƞ,4,0.8,1,0,0.90484,0.90484,0.90484,0.90484,0.90484,0.90484,0.90484,0.986550118,1,0,1,0,0,0,1,0,0.986550118,0.867893763,0,0
Vector,hydro,σMac,1,0.2,0.8,0,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0,0,0,0,0,0,0,0,0.7675,0.7675,0,0
Vector,hydro,σMac,2,0.2,0.8,0,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0,0,0,0,0,0,0,0,0.7675,0.7675,0,0
Vector,hydro,σMac,3,0.2,0.8,0,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0,0,0,0,0,0,0,0,0.7675,0.7675,0,0
Vector,hydro,σMac,4,0.2,0.8,0,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0,0,0,0,0,0,0,0,0.7675,0.7675,0,0
Vector,hydro,ΨmMac,1,50,390,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,10,10,0,0
Vector,hydro,ΨmMac,2,50,390,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,10,10,0,0
Vector,hydro,ΨmMac,3,50,390,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,10,10,0,0
Vector,hydro,ΨmMac,4,50,390,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,10,10,0,0
Vector,hydro,So,1,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,2,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,3,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,4,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
