Z,ΔZ,ΔZ_⬓,Znode,ΔZ_Aver,ΔZ_W,Z_CellUp
12.5,12.5,6.25,6.25,6.25,1.0,0.0
25,12.5,6.25,18.75,12.5,0.5,12.5
37.5,12.5,6.25,31.25,12.5,0.5,25.0
50,12.5,6.25,43.75,12.5,0.5,37.5
75,25.0,12.5,62.5,18.75,0.6666666666666666,50.0
100,25.0,12.5,87.5,25.0,0.5,75.0
125,25.0,12.5,112.5,25.0,0.5,100.0
150,25.0,12.5,137.5,25.0,0.5,125.0
175,25.0,12.5,162.5,25.0,0.5,150.0
200,25.0,12.5,187.5,25.0,0.5,175.0
225,25.0,12.5,212.5,25.0,0.5,200.0
250,25.0,12.5,237.5,25.0,0.5,225.0
275,25.0,12.5,262.5,25.0,0.5,250.0
300,25.0,12.5,287.5,25.0,0.5,275.0
350,50.0,25.0,325.0,37.5,0.6666666666666666,300.0
400,50.0,25.0,375.0,50.0,0.5,350.0
450,50.0,25.0,425.0,50.0,0.5,400.0
500,50.0,25.0,475.0,50.0,0.5,450.0
550,50.0,25.0,525.0,50.0,0.5,500.0
600,50.0,25.0,575.0,50.0,0.5,550.0
650,50.0,25.0,625.0,50.0,0.5,600.0
700,50.0,25.0,675.0,50.0,0.5,650.0
750,50.0,25.0,725.0,50.0,0.5,700.0
800,50.0,25.0,775.0,50.0,0.5,750.0
850,50.0,25.0,825.0,50.0,0.5,800.0
900,50.0,25.0,875.0,50.0,0.5,850.0
950,50.0,25.0,925.0,50.0,0.5,900.0
1000,50.0,25.0,975.0,50.0,0.5,950.0
1050,50.0,25.0,1025.0,50.0,0.5,1000.0
1100,50.0,25.0,1075.0,50.0,0.5,1050.0
1150,50.0,25.0,1125.0,50.0,0.5,1100.0
1200,50.0,25.0,1175.0,50.0,0.5,1150.0
