0,MODEL,ParamName,MIN,MAX,LogTransform,VALUE,OPT
,Kosugi,θs,0.3,0.6,0,0.6,0
,Kosugi,θr,0,0.2,0,0.2,1
,Kosugi,Ks,5.50E-05,0.08,1,0.08,0
,Kosugi,Ψm,100,1.00E+07,1,7.20E+09,1
,Kosugi,σ,0.75,4,0,4,1
,Kosugi,θsMacMat_ƞ,0.75,1,0,1,1
,Kosugi,σMac,0.2,2,0,0.7675,0
,Kosugi,ΨmMac,1,100,0,10,0
,Vangenuchten,θs,0.3,0.6,0,0.6,0
,Vangenuchten,θr,0,0.2,0,0.2,1
,Vangenuchten,Ks,5.50E-05,0.08,1,0.08,0
,Vangenuchten,N,1.001,2,0,1,1
,Vangenuchten,Ψvg,10,500000,1,7.20E+09,1
,Vangenuchten,Km,1,2,0,1,0
,BrooksCorey,θs,0.3,0.6,0,0.6,0
,BrooksCorey,θr,0,0.2,0,0.2,1
,BrooksCorey,Ks,5.50E-05,0.08,1,1,0
,BrooksCorey,λbc,0.09,0.709219858,0,1,1
,BrooksCorey,Ψbc,90,856,1,1,1
,ClappHornberger,θs,0.3,0.6,0,0.6,0
,ClappHornberger,θr,0,0.2,0,0.2,1
,ClappHornberger,Ks,5.50E-05,0.08,1,1,0
,ClappHornberger,λch,0.09,0.709219858,0,1,1
,ClappHornberger,Ψch,90,856,1,1,1
